date,RR,TN,TX,FXI,DXI,UN,UX,INST
1994-07-08,0.2,13.2,20.5,0.0,0,65,95,
1994-07-09,0.0,8.8,22.0,0.0,0,51,96,
1994-07-10,0.2,11.3,25.7,0.0,0,40,84,
1994-07-11,0.0,14.5,29.5,0.0,0,36,84,
1994-07-12,0.0,17.1,29.6,0.0,0,39,84,
1994-07-13,0.0,15.1,26.7,0.0,0,52,89,
1994-07-14,0.0,18.1,25.2,0.0,0,59,90,
1994-07-15,0.0,15.6,28.2,0.0,0,38,97,
1994-07-16,0.0,17.1,32.1,0.0,0,34,78,
1994-07-17,1.4,20.8,29.5,0.0,0,44,84,
1994-07-18,3.0,16.8,21.3,0.0,0,78,96,
1994-07-19,2.0,15.0,21.2,0.0,0,70,97,
1994-07-20,0.0,11.5,22.8,0.0,0,62,98,
1994-07-21,0.0,15.3,26.6,0.0,0,34,97,
1994-07-22,0.0,17.0,28.6,0.0,0,38,73,
1994-07-23,0.0,17.0,28.3,0.0,0,42,88,
1994-07-24,1.8,15.9,29.3,0.0,0,46,89,
1994-07-25,2.2,16.3,26.3,0.0,0,51,94,
1994-07-26,0.0,16.3,29.4,0.0,0,45,94,
1994-07-27,0.0,17.4,31.8,0.0,0,34,92,
1994-07-28,0.2,18.1,25.5,0.0,0,61,98,
1994-07-29,0.0,17.6,27.9,0.0,0,43,98,
1994-07-30,0.8,18.8,29.3,0.0,0,40,82,
1994-07-31,32.2,16.7,24.3,0.0,0,63,98,
1994-08-01,0.2,14.3,22.4,0.0,0,53,99,
1994-08-02,0.0,14.3,26.5,0.0,0,39,86,
1994-08-03,0.0,17.0,31.7,0.0,0,39,76,
1994-08-04,2.2,20.0,30.1,0.0,0,37,80,
1994-08-05,0.0,17.9,27.2,0.0,0,60,96,
1994-08-06,0.0,19.3,30.9,0.0,0,43,90,
1994-08-07,4.4,18.3,28.3,0.0,0,59,96,
1994-08-08,0.2,17.5,26.9,0.0,0,65,99,
1994-08-09,16.4,19.4,30.3,0.0,0,54,94,
1994-08-10,0.6,15.6,22.2,0.0,0,51,98,
1994-08-11,5.6,13.1,19.3,0.0,0,77,96,
1994-08-12,0.0,14.3,22.6,0.0,0,54,98,
1994-08-13,4.4,12.7,20.3,0.0,0,72,98,
1994-08-14,0.0,12.7,23.1,0.0,0,42,97,
1994-08-15,0.0,12.8,25.9,0.0,0,43,80,
1994-08-16,0.0,14.8,28.3,0.0,0,42,84,
1994-08-17,0.2,15.8,20.8,0.0,0,58,84,
1994-08-18,0.8,14.1,22.7,0.0,0,52,98,
1994-08-19,0.2,10.6,24.0,0.0,0,54,99,
1994-08-20,0.0,14.1,28.2,0.0,0,39,97,
1994-08-21,11.0,18.0,33.1,0.0,0,34,89,
1994-08-22,0.6,17.1,24.7,0.0,0,63,99,
1994-08-23,0.0,16.0,24.2,0.0,0,56,98,
1994-08-24,4.4,12.3,19.3,0.0,0,53,96,
1994-08-25,12.2,12.7,21.0,0.0,0,66,98,
1994-08-26,1.2,14.5,21.5,0.0,0,60,98,
1994-08-27,0.2,11.2,24.3,0.0,0,61,99,
1994-08-28,0.2,15.4,22.7,0.0,0,66,97,
1994-08-29,0.0,13.0,23.6,0.0,0,55,99,
1994-08-30,0.2,11.8,25.4,0.0,0,54,94,
