date,RR,TN,TX,FXI,DXI,UN,UX,INST
2025-01-01,0.4,-4.8,8.2,7.8,180,66,100,475
2025-01-02,11.2,-0.6,6.6,10.7,210,94,99,0
2025-01-03,1.0,2.0,5.2,6.0,10,79,97,70
2025-01-04,7.4,0.6,10.6,8.5,250,84,100,0
2025-01-05,0.2,8.1,12.2,12.5,170,77,100,240
2025-01-06,2.2,2.4,11.1,15.8,230,71,98,14
2025-01-07,23.4,2.9,11.3,10.9,170,95,100,1
2025-01-08,16.4,6.2,12.3,17.8,220,66,99,21
2025-01-09,11.8,4.3,11.4,18.3,240,86,100,39
2025-01-10,18.4,0.8,12.2,12.1,260,96,100,0
2025-01-11,0.0,0.4,4.9,10.7,20,73,100,173
2025-01-12,0.0,-2.8,3.2,13.3,60,59,94,485
2025-01-13,0.0,-4.0,3.0,10.4,360,48,87,482
2025-01-14,0.0,-8.0,4.7,7.6,60,44,91,484
2025-01-15,0.0,-2.2,9.4,12.4,30,28,94,485
2025-01-16,0.2,-0.7,8.5,9.1,120,55,95,463
2025-01-17,0.2,-3.1,10.8,7.7,10,43,93,488
2025-01-18,0.2,-2.7,4.1,6.3,160,77,99,205
2025-01-19,0.2,-4.6,8.6,5.3,90,51,99,298
2025-01-20,0.6,-0.6,9.3,5.7,160,67,98,125
2025-01-21,2.8,-1.5,11.8,10.0,150,64,100,252
2025-01-22,7.4,4.0,13.0,11.1,270,76,100,100
2025-01-23,0.0,2.9,7.8,7.4,310,69,99,131
2025-01-24,0.0,0.4,11.7,9.6,170,56,89,103
2025-01-25,7.4,7.6,10.5,15.6,260,66,97,0
2025-01-26,21.0,-1.6,9.7,13.0,160,77,100,0
2025-01-27,10.2,7.3,8.8,12.6,240,86,98,11
2025-01-28,20.4,4.0,7.9,15.0,210,89,98,0
2025-01-29,0.8,5.0,8.1,11.8,190,76,100,59
2025-01-30,0.4,0.9,11.3,10.3,360,61,100,279
2025-01-31,3.6,1.4,7.9,8.7,100,41,99,339
2025-02-01,0.0,-0.4,6.9,7.7,20,65,99,408
2025-02-02,0.2,-3.7,11.1,4.7,10,52,100,516
2025-02-03,0.0,-0.3,13.4,6.3,330,37,91,520
2025-02-04,0.2,-3.3,12.8,6.3,360,39,94,522
2025-02-05,0.0,-0.5,11.7,9.9,20,50,92,511
2025-02-06,0.0,3.1,10.6,10.5,20,54,96,429
2025-02-07,15.4,-2.5,9.9,12.2,240,58,99,83
2025-02-08,2.0,0.3,5.0,7.7,250,90,100,23
2025-02-09,5.0,1.2,6.2,7.9,180,73,99,112
2025-02-10,17.0,3.6,9.1,9.6,200,97,100,0
2025-02-11,0.2,6.6,10.5,8.5,160,83,100,0
2025-02-12,0.2,6.5,12.6,6.9,210,68,99,160
2025-02-13,1.0,6.8,10.7,5.8,250,73,99,24
2025-02-14,0.2,6.1,10.9,7.3,20,48,98,330
2025-02-15,0.0,-3.9,12.3,6.1,100,30,83,394
2025-02-16,0.0,-0.6,15.3,5.7,180,40,90,489
2025-02-17,0.0,2.4,15.8,4.6,270,39,97,515
2025-02-18,0.2,0.3,15.4,7.3,160,52,96,385
2025-02-19,0.0,4.2,16.3,10.0,180,59,97,373
2025-02-20,0.0,2.3,16.4,6.2,150,57,100,489
2025-02-21,4.4,5.9,14.4,13.2,130,61,97,247
2025-02-22,3.2,7.2,11.8,12.7,160,71,99,71
2025-02-23,0.2,1.2,12.6,4.9,130,65,100,370
2025-02-24,12.8,2.9,13.3,7.9,180,65,100,67
2025-02-25,4.8,6.1,10.3,18.0,270,55,98,204
2025-02-26,2.8,3.3,9.9,8.4,230,64,99,164
2025-02-27,0.2,5.1,10.6,7.9,20,45,98,443
2025-02-28,0.0,1.1,9.6,11.0,70,52,90,545
2025-03-01,0.2,0.5,7.9,13.3,40,50,92,434
2025-03-02,0.0,0.5,14.1,6.9,360,41,89,595
2025-03-03,0.0,-0.3,15.1,5.6,100,33,91,448
2025-03-04,0.0,3.2,17.1,7.0,140,29,86,426
2025-03-05,0.0,1.0,16.3,11.2,110,26,82,516
2025-03-06,0.0,6.2,15.7,14.7,160,50,72,587
2025-03-07,0.0,5.5,16.1,12.7,130,49,82,605
2025-03-08,0.0,9.1,15.8,18.1,160,55,75,251
2025-03-09,13.0,8.0,11.7,16.7,140,68,99,0
2025-03-10,0.0,0.7,15.5,6.4,40,46,100,404
2025-03-11,0.2,1.7,14.1,6.6,10,52,100,308
2025-03-12,5.6,1.7,9.2,8.4,250,78,100,100
2025-03-13,0.0,1.5,7.3,7.0,310,62,98,144
2025-03-14,0.2,-0.9,8.2,12.0,30,53,94,473
2025-03-15,7.0,-0.3,3.1,10.6,320,84,97,54
2025-03-16,0.0,0.4,4.5,4.5,210,78,98,26
2025-03-17,0.2,-4.3,11.1,8.6,80,52,96,620
2025-03-18,0.0,-1.9,15.7,15.1,150,39,95,628
2025-03-19,0.0,7.4,15.2,13.2,130,56,79,501
2025-03-20,0.0,6.9,14.9,14.9,130,62,80,227
2025-03-21,15.0,9.4,13.4,15.0,180,66,97,0
2025-03-22,14.0,7.2,10.8,13.2,240,74,98,94
2025-03-23,0.2,6.8,12.7,10.0,220,63,100,247
2025-03-24,0.0,3.4,14.8,9.4,320,57,99,283
2025-03-25,0.0,3.2,14.2,8.5,280,55,100,370
2025-03-26,0.0,7.3,12.7,9.1,350,56,94,99
2025-03-27,0.0,6.1,15.4,9.2,50,48,96,565
2025-03-28,3.8,3.0,14.8,12.9,350,48,97,372
2025-03-29,0.0,3.9,11.3,12.2,330,50,94,197
2025-03-30,0.0,3.2,13.8,9.0,10,46,94,466
2025-03-31,0.0,7.4,16.6,10.9,10,35,98,602
2025-04-01,7.0,4.7,17.0,14.3,30,29,83,712
2025-04-02,14.2,4.9,10.5,15.5,90,56,97,0
2025-04-03,0.0,7.3,16.9,12.5,160,51,90,278
2025-04-04,0.0,7.8,18.8,9.9,130,39,79,263
2025-04-05,0.0,5.9,20.8,7.2,190,37,82,697
2025-04-06,0.0,11.9,22.6,10.9,30,29,79,733
2025-04-07,0.0,4.0,21.6,7.1,330,21,85,734
2025-04-08,0.0,1.9,21.6,6.3,360,16,84,705
2025-04-09,0.0,4.2,19.3,9.6,10,31,76,740
2025-04-10,0.0,8.4,21.6,9.8,30,24,66,743
2025-04-11,1.8,4.8,23.4,6.9,100,23,84,707
2025-04-12,3.0,9.2,14.8,10.3,160,55,97,6
2025-04-13,0.2,7.7,15.0,7.0,240,62,100,137
2025-04-14,25.2,3.0,19.5,9.7,230,50,100,585
2025-04-15,7.8,8.3,10.6,9.0,210,83,99,0
2025-04-16,3.6,4.8,13.6,8.4,270,49,99,250
2025-04-17,0.2,2.0,14.1,7.2,290,48,99,296
2025-04-18,1.0,0.9,18.8,10.8,220,45,100,747
2025-04-19,40.4,9.6,15.6,12.3,210,63,98,19
2025-04-20,38.4,5.4,9.1,18.2,180,92,99,0
2025-04-21,6.2,7.9,13.8,9.3,240,59,99,83
2025-04-22,0.2,5.7,13.7,6.5,220,62,100,188
2025-04-23,18.2,2.5,13.0,11.6,270,79,100,98
2025-04-24,0.0,8.6,14.2,7.4,260,65,98,122
2025-04-25,0.0,4.2,19.2,8.9,40,41,100,774
2025-04-26,0.8,5.3,13.7,7.2,40,71,99,50
2025-04-27,0.0,9.9,18.6,8.3,350,56,99,335
2025-04-28,0.0,5.8,22.6,7.1,210,38,99,704
2025-04-29,0.0,6.2,23.6,10.1,110,39,98,738
2025-04-30,0.0,8.1,24.7,10.6,120,34,88,789
2025-05-01,0.0,7.4,23.2,8.9,170,37,85,739
2025-05-02,0.2,7.8,24.2,10.5,160,36,86,476
2025-05-03,0.2,9.0,24.0,14.3,250,41,97,480
2025-05-04,4.6,7.6,20.9,10.6,50,48,100,286
2025-05-05,1.0,6.5,13.8,12.2,10,50,90,313
2025-05-06,0.0,6.4,15.8,10.9,60,47,96,264
